iter	Passed	Remaining
399	46987	11746
400	47102	11628
401	47215	11510
402	47333	11392
403	47445	11274
404	47559	11155
405	47672	11037
406	47794	10921
407	47916	10804
408	48026	10685
409	48147	10568
410	48267	10452
411	48386	10335
412	48506	10218
413	48625	10100
414	48738	9982
415	48849	9863
416	48964	9745
417	49083	9628
418	49195	9510
419	49311	9392
420	49431	9275
421	49549	9158
422	49662	9040
423	49774	8921
424	49889	8803
425	50003	8686
426	50119	8568
427	50229	8449
428	50342	8331
429	50454	8213
430	50565	8095
431	50678	7977
432	50791	7859
433	50902	7740
434	51026	7624
435	51151	7508
436	51275	7392
437	51388	7274
438	51503	7156
439	51618	7038
440	51738	6921
441	51845	6803
442	51953	6684
443	52058	6565
444	52169	6447
445	52283	6330
446	52394	6212
447	52504	6094
448	52611	5975
449	52725	5858
450	52829	5739
451	52936	5621
452	53041	5503
453	53146	5384
454	53259	5267
455	53368	5149
456	53481	5032
457	53592	4914
458	53703	4797
459	53809	4679
460	53918	4561
461	54029	4443
462	54136	4326
463	54246	4208
464	54360	4091
465	54464	3973
466	54573	3856
467	54681	3738
468	54790	3621
469	54896	3504
470	55002	3386
471	55117	3269
472	55224	3152
473	55333	3035
474	55440	2917
475	55549	2800
476	55655	2683
477	55763	2566
478	55868	2449
479	55974	2332
480	56078	2215
481	56183	2098
482	56315	1982
483	56432	1865
484	56551	1749
485	56669	1632
486	56787	1515
487	56913	1399
488	57059	1283
489	57203	1167
490	57330	1050
491	57462	934
492	57574	817
493	57694	700
494	57810	583
495	57931	467
496	58047	350
497	58167	233
498	58290	116
499	58404	0
