iter	F1	Logloss
0	0.8836746868	0.6372324234
1	0.8941542047	0.5965302176
2	0.906012843	0.550052193
3	0.9143074292	0.513854263
4	0.9108986616	0.4794448677
5	0.9127230411	0.446800942
6	0.9175475687	0.4233570272
7	0.9387133612	0.4006224765
8	0.9337142857	0.3801626761
9	0.9385981485	0.3650599688
10	0.938976006	0.3495796527
11	0.9395845245	0.3345208656
12	0.9430210325	0.3220012377
13	0.9446987033	0.3106337995
14	0.9461055037	0.2981899378
15	0.9468672634	0.2854747988
16	0.9477086899	0.2768456542
17	0.9479878512	0.2703130005
18	0.9501232695	0.2605718556
19	0.9538926682	0.2510205319
20	0.9540555871	0.2429459776
21	0.9537124504	0.2357955755
22	0.9536949537	0.2310827057
23	0.9545798637	0.2259669937
24	0.9544337304	0.2210693426
25	0.9542186909	0.2167724156
26	0.9542360061	0.2118416402
27	0.9555345317	0.2084508736
28	0.9551561022	0.2051479408
29	0.9567842989	0.202339168
30	0.9577039275	0.1987333233
31	0.9578051088	0.195319067
32	0.9580340265	0.1915977576
33	0.9611760271	0.1884833658
34	0.9611613876	0.1844426431
35	0.9624599132	0.1814008244
36	0.9602573808	0.1772519741
37	0.9637462236	0.1742614815
38	0.9639146042	0.171783277
39	0.9642924617	0.1698238434
40	0.9648526077	0.1678897783
41	0.9657521287	0.1650075865
42	0.9670454545	0.161989604
43	0.9668623367	0.1605067495
44	0.9662878788	0.1589136276
45	0.9672037915	0.1565482901
46	0.966641395	0.1548645178
47	0.9668120614	0.1529065777
48	0.9675952246	0.1510958199
49	0.9673995451	0.1500136913
50	0.9677664012	0.1486523233
51	0.9681697613	0.146170582
52	0.9681576952	0.1446055422
53	0.9681576952	0.1439271224
54	0.9695133497	0.1421721998
55	0.96912294	0.141131653
56	0.9696739955	0.1394164809
57	0.9708443771	0.1383276851
58	0.9708443771	0.1371915436
59	0.9719590754	0.1363648218
60	0.9719590754	0.1347682863
61	0.9721643628	0.1338623497
62	0.9719271624	0.1325874725
63	0.9721221316	0.1316282159
64	0.9738735328	0.1307367687
65	0.9730958696	0.129763397
66	0.9734748011	0.1290093874
67	0.9738339022	0.1283353121
68	0.9748249101	0.1272211048
69	0.9763033175	0.1262023993
70	0.9776515152	0.1256213109
71	0.9780386217	0.1242296583
72	0.9780386217	0.1229003883
73	0.9780386217	0.1216961533
74	0.9785944308	0.1203168304
75	0.9785944308	0.1197421235
76	0.9785944308	0.1192534983
77	0.9789732904	0.1184952334
78	0.9791666667	0.1180152806
79	0.9791666667	0.1173811375
80	0.9789732904	0.1168064556
81	0.97935215	0.1161119912
82	0.9791745551	0.1151539894
83	0.97935215	0.1147348034
84	0.97935215	0.113870821
85	0.9795377037	0.1134952478
86	0.9810534293	0.1124834209
87	0.9810534293	0.1118401745
88	0.9814393939	0.1103874331
89	0.9814393939	0.1093244001
90	0.9816253078	0.1088608886
91	0.9816253078	0.1082748639
92	0.9812535505	0.1077481695
93	0.9818112922	0.1070054895
94	0.9823830271	0.1063695447
95	0.9823830271	0.1057235404
96	0.982569155	0.1051312023
97	0.9831279621	0.1046850195
98	0.9833206975	0.1040119915
99	0.983507109	0.1038183161
100	0.9840848806	0.1031618948
101	0.9838923631	0.1022701902
102	0.9838923631	0.1017294658
103	0.9838923631	0.1016040656
104	0.9838923631	0.1011505016
105	0.9838923631	0.09962228367
106	0.9842713663	0.09916816702
107	0.9842713663	0.09877984312
108	0.9840848806	0.09861520343
109	0.9840848806	0.09847861331
110	0.9840848806	0.09831930163
111	0.9840848806	0.09822738671
112	0.9842654028	0.09761454556
113	0.9836997726	0.09652728381
114	0.9838862559	0.09612238542
115	0.9838862559	0.09602015742
116	0.9838862559	0.09570246319
117	0.9836997726	0.09538033434
118	0.9838862559	0.09525668058
119	0.98407281	0.09513194095
120	0.9844461305	0.09455707051
121	0.9844461305	0.09446248722
122	0.9844461305	0.09392994084
123	0.9844461305	0.09374849866
124	0.9844461305	0.09362404184
125	0.9844461305	0.09351358496
126	0.9848254932	0.09330954079
127	0.9850180163	0.09277017304
128	0.9852104664	0.0922172232
129	0.9854028436	0.09159234619
130	0.9854028436	0.09146761631
131	0.9854028436	0.09105869479
132	0.9854028436	0.09067936729
133	0.9852160728	0.09002273273
134	0.9855896852	0.0898972848
135	0.9857765978	0.08960264647
136	0.9857765978	0.08928815625
137	0.9857765978	0.08903124442
138	0.9857765978	0.08894514354
139	0.9859635812	0.08873688595
140	0.9859635812	0.08863201091
141	0.9859635812	0.08843014936
142	0.9859635812	0.088336298
143	0.9859582543	0.08780460741
144	0.9859582543	0.08750711075
145	0.9859582543	0.08741506409
146	0.9859582543	0.08732316195
147	0.9859582543	0.08713740905
148	0.9859582543	0.08672688023
149	0.9861506356	0.08618586257
150	0.9863429439	0.08610437383
151	0.9863429439	0.08601493002
152	0.9863429439	0.08592901534
153	0.9865351792	0.08533926048
154	0.9865351792	0.08525366772
155	0.9865300702	0.08460307636
156	0.9863429439	0.08394388038
157	0.9865300702	0.08385272987
158	0.9870918755	0.08375139453
159	0.9870918755	0.08330353073
160	0.9870918755	0.08319773879
161	0.9872792861	0.08310276222
162	0.987086973	0.08230322318
163	0.987086973	0.08216924437
164	0.9872744539	0.08208801858
165	0.9872744539	0.08147957132
166	0.9878465629	0.0811151776
167	0.9882352941	0.080393244
168	0.988043272	0.07985149353
169	0.988043272	0.07974513003
170	0.9882308276	0.07912888801
171	0.9882308276	0.07902179961
172	0.9882352941	0.07857104052
173	0.9882352941	0.07834635931
174	0.9882352941	0.07826826025
175	0.9882352941	0.07818657961
176	0.9882352941	0.07806563674
177	0.9882352941	0.07798435848
178	0.9884228506	0.07743703809
179	0.9884228506	0.07735943186
180	0.9882352941	0.07671081722
181	0.9882352941	0.07654857083
182	0.9884228506	0.07570747417
183	0.9884228506	0.07559636
184	0.9884228506	0.07551232183
185	0.9887981773	0.07542298554
186	0.9887981773	0.07534693399
187	0.9891779001	0.07460599043
188	0.9891779001	0.07454133884
189	0.9889901291	0.07430561438
190	0.9891779001	0.07390342335
191	0.9891779001	0.07307955622
192	0.9893657425	0.0726498813
193	0.9893657425	0.07212135559
194	0.9893657425	0.07203143895
195	0.9893657425	0.07124088142
196	0.9893657425	0.07117389008
197	0.9895536562	0.07072379325
198	0.9897416413	0.07061755235
199	0.9897416413	0.07054875168
200	0.9899335233	0.07020290654
201	0.9899335233	0.07013203586
202	0.9899335233	0.06970309558
203	0.9899335233	0.06963421844
204	0.9899335233	0.06866318656
205	0.9899335233	0.06856768747
206	0.9899335233	0.06835580979
207	0.9897416413	0.06822804482
208	0.9899335233	0.06781008735
209	0.9899335233	0.0675281042
210	0.9899335233	0.06743638302
211	0.9899335233	0.06737327789
212	0.9899335233	0.06669292636
213	0.9901253323	0.06615494618
214	0.9899335233	0.06580825222
215	0.9899335233	0.06572004967
216	0.9899335233	0.06566083894
217	0.9903133903	0.06512855209
218	0.9905015198	0.0650533655
219	0.9901215805	0.06462529132
220	0.9903133903	0.06433886211
221	0.9905015198	0.06386363194
222	0.9905015198	0.06380739533
223	0.9904979095	0.06335404489
224	0.9904979095	0.06329871146
225	0.9906897207	0.06300435852
226	0.9906897207	0.06272480297
227	0.9906897207	0.06257877954
228	0.990881459	0.06209945233
229	0.990881459	0.06204664814
230	0.9910697321	0.061962436
231	0.9910663372	0.06152668423
232	0.9914464931	0.06108738689
233	0.9916381604	0.060984285
234	0.9916381604	0.06093040478
235	0.9916381604	0.06087843123
236	0.9916381604	0.06072124295
237	0.9916381604	0.06064206693
238	0.9916381604	0.06059226449
239	0.9914497435	0.06008054184
240	0.9914497435	0.06000606739
241	0.9914497435	0.05995816236
242	0.9914497435	0.05965571216
243	0.9916381604	0.05960897599
244	0.9914497435	0.05914974806
245	0.9914497435	0.05907030936
246	0.9916381604	0.05883167399
247	0.9914464931	0.05825305195
248	0.9918266489	0.05795277475
249	0.9918266489	0.05785488611
250	0.9918266489	0.05744658258
251	0.9918266489	0.05703738785
252	0.9918266489	0.05673901062
253	0.9918266489	0.05669159203
254	0.9918266489	0.05628816197
255	0.9918266489	0.05621418203
256	0.9918266489	0.05616867839
257	0.992018244	0.05583142882
258	0.992018244	0.0557864661
259	0.992018244	0.05564533066
260	0.992018244	0.05559053616
261	0.9922068048	0.05518758384
262	0.9922068048	0.05498676971
263	0.9922068048	0.05494325327
264	0.9922068048	0.0545459063
265	0.9922068048	0.05446545472
266	0.9922068048	0.05442304302
267	0.9922068048	0.05438198276
268	0.9923954373	0.05426574518
269	0.9925869607	0.05387291785
270	0.9922068048	0.05356270527
271	0.9922068048	0.05349372563
272	0.9923983276	0.05303408545
273	0.9925869607	0.05299379407
274	0.9925869607	0.05271048999
275	0.9927756654	0.05245571548
276	0.9931532902	0.05218961982
277	0.9931532902	0.0521495173
278	0.9931532902	0.05211102893
279	0.9931532902	0.05173745319
280	0.9935312024	0.05157357809
281	0.9935312024	0.05153549079
282	0.9939117199	0.05140920641
283	0.9935312024	0.05082736325
284	0.9935312024	0.05057288334
285	0.9937202664	0.05051616946
286	0.9937202664	0.05023661433
287	0.9937202664	0.05019257361
288	0.9937202664	0.05015510203
